item,itemLabel,point_of_time
http://www.wikidata.org/entity/Q43393059,Issobell Smith,1661-06-10T00:00:00Z
http://www.wikidata.org/entity/Q43392836,Jonet Carfrae,1661-04-13T00:00:00Z
http://www.wikidata.org/entity/Q43393066,Isobell (Elspeth) Crockett,1658-08-01T00:00:00Z
http://www.wikidata.org/entity/Q43393031,Helene Deanes,1649-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43393015,Jeane Deanes,1649-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43393034,Helen Sharpe,1649-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43392928,Jean Barbour,1642-05-03T00:00:00Z
http://www.wikidata.org/entity/Q43392911,Helene Hamiltoun,1632-03-04T00:00:00Z
http://www.wikidata.org/entity/Q43392880,Mallie Cowper,1630-09-18T00:00:00Z
http://www.wikidata.org/entity/Q43392876,Janet Wallace,1630-08-19T00:00:00Z
http://www.wikidata.org/entity/Q43392842,Christian Steill,1630-06-05T00:00:00Z
http://www.wikidata.org/entity/Q43392822,Margaret Borthuick,1630-04-11T00:00:00Z
http://www.wikidata.org/entity/Q43392820,Bessie Guiddale,1630-03-21T00:00:00Z
http://www.wikidata.org/entity/Q43392793,Katherine McCheyne,1630-02-14T00:00:00Z
http://www.wikidata.org/entity/Q43392791,Marion Hannay,1630-02-14T00:00:00Z
http://www.wikidata.org/entity/Q43392797,Margaret Affleck,1630-02-14T00:00:00Z
http://www.wikidata.org/entity/Q43392799,Marion Martine,1630-02-14T00:00:00Z
http://www.wikidata.org/entity/Q43392786,Janet Currie,1630-01-31T00:00:00Z
http://www.wikidata.org/entity/Q43392764,Janet Miller,1629-12-13T00:00:00Z
http://www.wikidata.org/entity/Q43392747,Susanna Skaitsone,1629-10-27T00:00:00Z
http://www.wikidata.org/entity/Q43392781,Andrew Abel,1629-10-01T00:00:00Z
http://www.wikidata.org/entity/Q43392703,Margaret Mathesoun,1629-08-31T00:00:00Z
http://www.wikidata.org/entity/Q43392858,Alesone Coline,1629-07-25T00:00:00Z
http://www.wikidata.org/entity/Q43392809,Cristian Stewart,1596-11-28T00:00:00Z
http://www.wikidata.org/entity/Q43392680,Robert Grierson,1591-01-05T00:00:00Z
http://www.wikidata.org/entity/Q43392897,Michael Clark,1597-11-22T00:00:00Z
http://www.wikidata.org/entity/Q43390778,Parker,1646-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43390683,Meriorie Mutche,1597-12-01T00:00:00Z
http://www.wikidata.org/entity/Q43390831,Janet Bennett,1597-08-27T00:00:00Z
http://www.wikidata.org/entity/Q43391333,Katherene Wallace,1591-02-06T00:00:00Z
http://www.wikidata.org/entity/Q43390939,John McConeill-Gar,1590-08-01T00:00:00Z
http://www.wikidata.org/entity/Q43390619,Mariorye Smytht,1576-02-04T00:00:00Z
http://www.wikidata.org/entity/Q43390586,Marion Veitch,1649-11-02T00:00:00Z
http://www.wikidata.org/entity/Q43391314,Elspeth Knox,1678-09-23T00:00:00Z
http://www.wikidata.org/entity/Q43391311,Katherine Halyday,1678-09-23T00:00:00Z
http://www.wikidata.org/entity/Q43391292,Katherine Sands,1675-05-14T00:00:00Z
http://www.wikidata.org/entity/Q43391285,Jonet Howat,1671-04-01T00:00:00Z
http://www.wikidata.org/entity/Q43391250,Jean Kerse,1662-06-11T00:00:00Z
http://www.wikidata.org/entity/Q43391168,Archibald Baird,1662-04-27T00:00:00Z
http://www.wikidata.org/entity/Q43391216,(wife of George) Sandie,1662-04-27T00:00:00Z
http://www.wikidata.org/entity/Q43391224,(wife of Thomas) Baylie,1662-04-27T00:00:00Z
http://www.wikidata.org/entity/Q43391091,Agnes Torrie,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43391058,Elspet Falconer,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43391069,Janet Man,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43391095,Helen Inglis,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43390997,Isobel Ramsay,1661-09-02T00:00:00Z
http://www.wikidata.org/entity/Q43390990,Issobel Broun,1661-08-20T00:00:00Z
http://www.wikidata.org/entity/Q43391176,Patrick Cathie,1661-04-13T00:00:00Z
http://www.wikidata.org/entity/Q43390929,Marioun Lowrie,1659-05-07T00:00:00Z
http://www.wikidata.org/entity/Q43390943,Grissel Fleck,1659-04-08T00:00:00Z
http://www.wikidata.org/entity/Q43390805,Agnes Mortoune,1658-04-10T00:00:00Z
http://www.wikidata.org/entity/Q43390902,Issobell Bennet,1658-03-26T00:00:00Z
http://www.wikidata.org/entity/Q43390590,Bessie Eumond,1649-10-30T00:00:00Z
http://www.wikidata.org/entity/Q43390793,Marion Henrison,1649-09-01T00:00:00Z
http://www.wikidata.org/entity/Q43390732,Cristian Wilson,1638-07-29T00:00:00Z
http://www.wikidata.org/entity/Q43390418,Elizabeth Bathgate,1633-12-26T00:00:00Z
http://www.wikidata.org/entity/Q43390402,Johnne Colquhoun,1633-01-21T00:00:00Z
http://www.wikidata.org/entity/Q43390167,Christian Paterson,1631-08-05T00:00:00Z
http://www.wikidata.org/entity/Q43390145,Janet Richardson,1630-06-05T00:00:00Z
http://www.wikidata.org/entity/Q43390123,Janet Wilkie,1630-03-30T00:00:00Z
http://www.wikidata.org/entity/Q43390054,Janet Weir,1629-04-03T00:00:00Z
http://www.wikidata.org/entity/Q43389980,Issobell Miller,1628-10-07T00:00:00Z
http://www.wikidata.org/entity/Q43389966,Janet Darling,1628-08-18T00:00:00Z
http://www.wikidata.org/entity/Q43389933,Helene Ezatt,1624-04-09T00:00:00Z
http://www.wikidata.org/entity/Q43395630,Agnes Mor Nin Vickeanglaish,1672-05-24T00:00:00Z
http://www.wikidata.org/entity/Q43395597,Mary Muarn Vic Innish,1662-07-13T00:00:00Z
http://www.wikidata.org/entity/Q43395609,Jonet Colquhone,1650-07-12T00:00:00Z
http://www.wikidata.org/entity/Q43395637,Issobell Murdoch,1650-07-11T00:00:00Z
http://www.wikidata.org/entity/Q43395607,Marion Moffat (second),1649-11-18T00:00:00Z
http://www.wikidata.org/entity/Q43395570,Anable Steven,1649-04-14T00:00:00Z
http://www.wikidata.org/entity/Q43390409,William Scott,1649-06-13T00:00:00Z
http://www.wikidata.org/entity/Q43395573,Bessie Rumond,1643-04-02T00:00:00Z
http://www.wikidata.org/entity/Q43390507,Janet Conochie,1670-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43390435,Margaret Dury,1669-07-25T00:00:00Z
http://www.wikidata.org/entity/Q16849009,Jean Weir,1670-04-16T00:00:00Z
http://www.wikidata.org/entity/Q43390500,Christian Watson,1663-10-26T00:00:00Z
http://www.wikidata.org/entity/Q43390291,Jonet Braidheid,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43390319,wife of Soirle McAllexander,1662-02-08T00:00:00Z
http://www.wikidata.org/entity/Q43390341,John Gely,1662-02-01T00:00:00Z
http://www.wikidata.org/entity/Q43395586,Helen Kirkpatrick,1706-01-20T00:00:00Z
http://www.wikidata.org/entity/Q43390582,James Doddes,1649-11-16T00:00:00Z
http://www.wikidata.org/entity/Q43390211,Jonnet McKennan,1644-09-28T00:00:00Z
http://www.wikidata.org/entity/Q43390200,Thomas Rob,1643-04-29T00:00:00Z
http://www.wikidata.org/entity/Q43390443,Bessie Weir,1677-01-28T00:00:00Z
http://www.wikidata.org/entity/Q43390421,Jonet McClean,1662-07-13T00:00:00Z
http://www.wikidata.org/entity/Q43390298,Margaret Lister,1662-05-03T00:00:00Z
http://www.wikidata.org/entity/Q43390261,Margret Walker,1661-11-17T00:00:00Z
http://www.wikidata.org/entity/Q43390545,Katherine Cruikshank,1661-06-01T00:00:00Z
http://www.wikidata.org/entity/Q43390486,Catharin Walker,1650-04-21T00:00:00Z
http://www.wikidata.org/entity/Q43390615,Jeane Threipland,1649-11-16T00:00:00Z
