Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Manner of Death
http://www.wikidata.org/entity/Q43392935,Jonet Reid,Orkney Islands,-3,59,Female,Capital Punishment
http://www.wikidata.org/entity/Q43393393,Jonet Young,Clathymore,-3.603294,56.374352,Female,Capital Punishment
http://www.wikidata.org/entity/Q43393370,Margrat Crose,Forteviot,-3.5351,56.3394,Female,Capital Punishment
http://www.wikidata.org/entity/Q43393566,Margaret Watson,Gilmerton,-3.13083,55.905,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394156,Bessie Skebister,Walls and Flotta,-3.265907,58.827685,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394949,Thomas Black,Gilmerton,-3.13083,55.905,Male,Capital Punishment
http://www.wikidata.org/entity/Q43391729,Helene Rogie,Findrack House,-2.64761,57.1334,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395509,Patrick Murray,Dalkeith,-3.068332,55.893642,Male,Capital Punishment
http://www.wikidata.org/entity/Q43395669,Helen Stewart,Shetland Islands,-1.2689,60.3038,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395722,Janet Douglas,Aberdeen,-2.1,57.15,Female,Capital Punishment
http://www.wikidata.org/entity/Q43396092,Bessie Bell,Ayr,-4.627777777,55.46388889,Female,Capital Punishment
http://www.wikidata.org/entity/Q43392373,Jonet Ker,Duddingston,-3.14673,55.9416,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395194,Gilbert McGill,Haddington,-2.78332,55.95612,Male,Capital Punishment
http://www.wikidata.org/entity/Q43395232,Margaret Clerk,Kirkcudbright,-4.051666666,54.83527778,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395110,Margaret Douglas,Crichton,-2.98249,55.8471,Female,Capital Punishment
http://www.wikidata.org/entity/Q43389937,Jonet Tailzour,"Cambus, Clackmannanshire",-3.84422,56.1237,Female,Capital Punishment
http://www.wikidata.org/entity/Q43390702,Katherine Jones dochter,Stenness,-1.611978,60.478228,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394111,Katherine Bigland,Westray,-3,59.3,Female,Capital Punishment
http://www.wikidata.org/entity/Q43390997,Isobel Ramsay,Duddingston,-3.14673,55.9416,Female,Capital Punishment
http://www.wikidata.org/entity/Q43394946,Elspett Blackie,Gilmerton,-3.13083,55.905,Female,Capital Punishment
http://www.wikidata.org/entity/Q43395357,Jonet Achesoun,Pinkerton,-2.48712,55.96065,Female,Capital Punishment
