Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Social Classification
http://www.wikidata.org/entity/Q43390402,Johnne Colquhoun,Luss,-4.644722222,56.09694444,Male,Laird
http://www.wikidata.org/entity/Q43392209,Samuelston (Home),Samuelston,-2.828,55.929,Female,Laird
http://www.wikidata.org/entity/Q43391014,Violet Auchinlek,Creich,-4.28333,57.8667,Female,Laird
http://www.wikidata.org/entity/Q55641024,Maud Galt,Lochwinnoch,-4.62856,55.7925,Female,Middling
http://www.wikidata.org/entity/Q43390123,Janet Wilkie,West Wemyss,-3.08333,56.1333,Female,Middling
http://www.wikidata.org/entity/Q43393129,Kathrin Key,Newburgh,-3.2383,56.3517,Female,Middling
http://www.wikidata.org/entity/Q43393151,Jon Boig,Inverkip,-4.8735,55.912,Male,Middling
http://www.wikidata.org/entity/Q43393222,Helen Balfour,Milnathort,-3.41449,56.2277,Female,Middling
http://www.wikidata.org/entity/Q43393353,Margret Kellie,Elgin,-3.315277777,57.64638889,Female,Middling
http://www.wikidata.org/entity/Q43393533,Marion Craig,Liberton,-3.16188,55.9144,Female,Middling
http://www.wikidata.org/entity/Q43393539,Christine Thomson,Liberton,-3.16188,55.9144,Female,Middling
http://www.wikidata.org/entity/Q43389980,Issobell Miller,Longniddry,-2.88333,55.9667,Female,Middling
http://www.wikidata.org/entity/Q43391775,Bessie Wanton,Abdie,-3.199161,56.333495,Female,Middling
http://www.wikidata.org/entity/Q43391890,Mary McKinnie,Glasgow,-4.27,55.87,Female,Middling
http://www.wikidata.org/entity/Q43392096,Agnis Quhytelaw,Forfar,-2.89,56.64305556,Female,Middling
http://www.wikidata.org/entity/Q43395927,Wyfie of Saltoun-milne,East Saltoun and West Saltoun,-2.8513,55.8989,Female,Middling
http://www.wikidata.org/entity/Q43390030,Jonet Neill,Dumbarton,-4.547222222,55.94861111,Female,Middling
http://www.wikidata.org/entity/Q43390076,Janet Allane,Earlston,-2.667,55.633,Female,Middling
http://www.wikidata.org/entity/Q43390153,Isobel Moffat,Dumfries,-3.616666666,55.06666667,Female,Middling
http://www.wikidata.org/entity/Q43393404,Jean Dumbar,Largs,-4.863611111,55.79388889,Female,Middling
http://www.wikidata.org/entity/Q43391430,Elspeth Tarbat,Newark,-4.677266,55.93438,Female,Middling
http://www.wikidata.org/entity/Q43392162,Anna Hill,Govan,-4.3083,55.8615,Female,Middling
http://www.wikidata.org/entity/Q43392398,Sarah Cranston,Crichton,-2.98249,55.8471,Female,Middling
http://www.wikidata.org/entity/Q43391928,Henwife,Woodhead,-2.768661,55.890198,Female,Middling
http://www.wikidata.org/entity/Q43391362,Margaret Acheson,Prestonpans,-2.961,55.9597,Female,Middling
http://www.wikidata.org/entity/Q43391446,Jean Gilmore,Govan,-4.3083,55.8615,Female,Middling
http://www.wikidata.org/entity/Q43391457,Bessie Broune,Haddington,-2.78332,55.95612,Female,Middling
http://www.wikidata.org/entity/Q43392410,Elizabeth Scotland,Bo'ness,-3.608911111,56.01681111,Female,Middling
