Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Manner of Death,Place of Death,Place of Detainment
http://www.wikidata.org/entity/Q43395229,Jonet Slowane,Ayr,-4.627777777,55.46388889,Female,Capital Punishment,Ayr,Ayr
http://www.wikidata.org/entity/Q43395305,Malie Wilson,Ayr,-4.627777777,55.46388889,Female,Capital Punishment,,Ayr
http://www.wikidata.org/entity/Q43394355,Margaret Bell,Corstorphine,-3.28544,55.9429,Female,Capital Punishment,Corstorphine,Corstorphine
http://www.wikidata.org/entity/Q43392392,Agnes Hendrie,Culross,-3.6293,56.0554,Female,Capital Punishment,Gallow Lea,Culross
http://www.wikidata.org/entity/Q43392396,Issobell Inglis,Culross,-3.6293,56.0554,Female,Capital Punishment,Gallow Lea,Culross
http://www.wikidata.org/entity/Q43392393,Jonet Hendrie,Culross,-3.6293,56.0554,Female,Capital Punishment,Gallow Lea,Culross
http://www.wikidata.org/entity/Q43391292,Katherine Sands,Culross,-3.6293,56.0554,Female,Capital Punishment,Gallow Lea,Culross
http://www.wikidata.org/entity/Q43394938,Christiane Wilsone,Dalkeith,-3.068332,55.893642,Female,Capital Punishment,Dalkeith,Dalkeith
http://www.wikidata.org/entity/Q43395088,Elspeth Thomsone,Glaisnock,-4.256401,55.433406,Female,Capital Punishment,Dumfries,Dumfries
http://www.wikidata.org/entity/Q43391274,Janet McMurdoche,Dumfries,-3.616666666,55.06666667,Female,Capital Punishment,Dumfries,Dumfries
http://www.wikidata.org/entity/Q43394862,Alleson Fermor,Haddington,-2.78332,55.95612,Female,Capital Punishment,,Dunbar
http://www.wikidata.org/entity/Q43395294,Jonnet Murriache,Dunblane,-3.973611111,56.18888889,Female,Capital Punishment,,Dunblane
http://www.wikidata.org/entity/Q43391477,Jonet Miller,Upper Rerwick,-3.933321,54.803973,Female,Capital Punishment,Dumfries,Edinburgh
http://www.wikidata.org/entity/Q43391000,Janet Cock,Dalkeith,-3.068332,55.893642,Female,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43395179,Margaret Dods,Peaston,-2.915091,55.878235,Female,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43395925,Rychard Grahame,Haddington,-2.78332,55.95612,Male,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43396215,Helen Pennant,Edinburgh,-3.198888888,55.95,Female,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43395111,Margaret Smaill,Humbie,-2.86735,55.8544,Female,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43395113,Isobel Shank,Crichton,-2.98249,55.8471,Female,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43395114,Margaret Lowis,Humbie,-2.86735,55.8544,Female,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43395108,Helen Forrester,Crichton,-2.98249,55.8471,Female,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43390167,Christian Paterson,Herdmanston,-2.84378,55.920612,Female,Capital Punishment,,Haddington
http://www.wikidata.org/entity/Q43396128,Elspeth McGowane,Kirkcudbright,-4.051666666,54.83527778,Female,Capital Punishment,,Kirkcudbright
http://www.wikidata.org/entity/Q43392216,Marion Mure,Leith,-3.17005,55.9801,Female,Capital Punishment,,Leith
http://www.wikidata.org/entity/Q43390967,Agnes Loch,Sunnyside,-3.143093,55.920836,Female,Capital Punishment,Musselburgh,Musselburgh
http://www.wikidata.org/entity/Q43392365,Janet Lyle,Edmonstone,-3.115893,55.917566,Female,Capital Punishment,Musselburgh,Musselburgh
http://www.wikidata.org/entity/Q43390770,Janet Lowrie,North Queensferry,-3.39444,56.0111,Female,Capital Punishment,,North Queensferry
http://www.wikidata.org/entity/Q43394297,Marioun Little,North Queensferry,-3.39444,56.0111,Female,Capital Punishment,,North Queensferry
http://www.wikidata.org/entity/Q43394278,Helen Thomson,North Queensferry,-3.39444,56.0111,Female,Capital Punishment,,North Queensferry
http://www.wikidata.org/entity/Q43394273,Elspeth Cant,North Queensferry,-3.39444,56.0111,Female,Capital Punishment,,North Queensferry
http://www.wikidata.org/entity/Q43394066,Ellen Gray,Aberdeen,-2.1,57.15,Female,Capital Punishment,Aberdeen,Old Slains Castle
http://www.wikidata.org/entity/Q43395366,Anie Tailzeour,Orkney Islands,-3,59,Female,Capital Punishment,,Orkney Islands
http://www.wikidata.org/entity/Q43390443,Bessie Weir,Polloktoun,-4.303161,55.821571,Female,Capital Punishment,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43392250,Margret Jackson,Pollokshaws,-4.29,55.8218,Female,Capital Punishment,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43395577,Jonet Scott,Innerleithen,-3.05901,55.6184,Female,Capital Punishment,Traquair,Peebles
http://www.wikidata.org/entity/Q43393112,George Lumsdeall,Innerleithen,-3.05901,55.6184,Male,Capital Punishment,,Peebles
http://www.wikidata.org/entity/Q43393723,Jonet Coutts,Netherurd House,-3.40619,55.6878,Female,Capital Punishment,,Peebles
http://www.wikidata.org/entity/Q43390200,Thomas Rob,Aberdalgie,-3.492391111,56.36421806,Male,Capital Punishment,,Perth
http://www.wikidata.org/entity/Q43392940,Jean Rob,Aberdalgie,-3.492391111,56.36421806,Female,Capital Punishment,,Perth
http://www.wikidata.org/entity/Q43390204,Agnes Stoddart,Aberdalgie,-3.492391111,56.36421806,Female,Capital Punishment,,Perth
http://www.wikidata.org/entity/Q43395943,James Lindsay,Blackhall,-3.253075,55.95878611,Male,Capital Punishment,Gallows Green,Renfrew
http://www.wikidata.org/entity/Q43395105,Janet McNicol,Rothesay,-5.05,55.83333333,Female,Capital Punishment,Rothesay,Rothesay
http://www.wikidata.org/entity/Q43393739,David Steward,Tyninghame Mains,-2.62518,56.0037,Male,Capital Punishment,,Tyninghame
http://www.wikidata.org/entity/Q43393737,Agneis Kirkland,Tyninghame Mains,-2.62518,56.0037,Female,Capital Punishment,,Tyninghame
