Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Social Classification,Manner of Death,Place of Death,Place of Detainment
http://www.wikidata.org/entity/Q43392290,Bessie Thom,Aberdeen,-2.1,57.15,Female,Middling,Capital Punishment,Aberdeen,
http://www.wikidata.org/entity/Q43392292,Christen Michell,Aberdeen,-2.1,57.15,Female,Middling,Capital Punishment,Aberdeen,
http://www.wikidata.org/entity/Q43391468,Jannett Sawer,Ayr,-4.627777777,55.46388889,Female,Middling,Capital Punishment,Ayr,Ayr
http://www.wikidata.org/entity/Q43390314,Katharine Oswald,Niddrie Mill,-3.116242,55.934142,Female,Middling,Capital Punishment,Castle Hill,Edinburgh
http://www.wikidata.org/entity/Q43392238,Grissel Gairdner,Newburgh,-3.2383,56.3517,Female,Middling,Capital Punishment,Castle Hill,
http://www.wikidata.org/entity/Q43390288,Margaret Wallace,Glasgow,-4.27,55.87,Female,Middling,Capital Punishment,Castle Hill,
http://www.wikidata.org/entity/Q43391709,Jonet Stewart,Dumbarton,-4.547222222,55.94861111,Female,Middling,Capital Punishment,Castle Hill,
http://www.wikidata.org/entity/Q43391480,Jean Thomson,"Borgue, Dumfries and Galloway",-4.134,54.812,Female,Middling,Capital Punishment,Dumfries,Kirkcudbright
http://www.wikidata.org/entity/Q43391484,Jannet Corsan,Dumfries,-3.616666666,55.06666667,Female,Middling,Capital Punishment,Dumfries,
http://www.wikidata.org/entity/Q43392439,Helen Moorheid,Kirkcudbright,-4.051666666,54.83527778,Female,Middling,Capital Punishment,Dumfries,
http://www.wikidata.org/entity/Q43395235,Agnes Clark,Loch Rutton,-3.6938,55.0531,Female,Middling,Capital Punishment,Dumfries,
http://www.wikidata.org/entity/Q43392128,Jon Stewart,Pollokshaws,-4.29,55.8218,Male,Middling,Capital Punishment,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43392254,Jonet Mathie,Pollokshaws,-4.29,55.8218,Female,Middling,Capital Punishment,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43392057,Anna Tait,Haddington,-2.78332,55.95612,Female,Middling,Capital Punishment,Haddington,Haddington
http://www.wikidata.org/entity/Q43392651,Alexander Drummond,Auchterarder,-3.70614,56.2932,Male,Middling,Capital Punishment,Mercat Cross,Edinburgh
http://www.wikidata.org/entity/Q43394040,Thomas Leyis,Aberdeen,-2.1,57.15,Male,Middling,Capital Punishment,,Aberdeen
http://www.wikidata.org/entity/Q43394843,Margaret Duchill,Alloa,-3.8,56.11666667,Female,Middling,Capital Punishment,,Alloa
http://www.wikidata.org/entity/Q43392408,Helen Laying,Peaston,-2.915091,55.878235,Female,Middling,Capital Punishment,,Edinburgh
http://www.wikidata.org/entity/Q43390766,Helen Hill,North Queensferry,-3.39444,56.0111,Female,Middling,Capital Punishment,,North Queensferry
http://www.wikidata.org/entity/Q43393159,Eupham Hougan,Rhynd,-3.36614,56.3648,Female,Middling,Capital Punishment,,Rhynd
http://www.wikidata.org/entity/Q43393156,Issobell McKessock,Rhynd,-3.36614,56.3648,Female,Middling,Capital Punishment,,Rhynd
http://www.wikidata.org/entity/Q43393154,Issobell Marshall,Rhynd,-3.36614,56.3648,Female,Middling,Capital Punishment,,Rhynd
