Wikidata Page,Name,Residence,Gender,Occupation,Long,Lat
http://www.wikidata.org/entity/Q43915852,Alexander Anderson,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43915915,Alexander Boig,Gorbals,Male,Advocate,-4.25211 ,55.8486
http://www.wikidata.org/entity/Q43914644,David Prymrois,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43916111,Henry Nisbet,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43912061,John Harper,Lanark,Male,Advocate,-3.77702 ,55.6749
http://www.wikidata.org/entity/Q43916097,John Moscrop,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43915087,Robert Dalgleish,Lauriston,Male,Advocate,-3.196944444 ,55.945
http://www.wikidata.org/entity/Q43914007,Simon MacKenzie,Inverness,Male,Advocate,-4.225833333 ,57.483888888
http://www.wikidata.org/entity/Q43912496,Thomas Henderson,Auchendinny,Male,Advocate,-3.19215 ,55.8468
http://www.wikidata.org/entity/Q43913457,Thomas Hope,Craighall,Male,Advocate,-3.3374 ,56.5993
http://www.wikidata.org/entity/Q43913316,William Moneypenny,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43913871,Younger Thomas Hope,Craighall,Male,Advocate,-3.3374 ,56.5993
http://www.wikidata.org/entity/Q43913785,Rayatons Pringle,Haddington,Male,Assistant chief constable,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43915096,Alexander Calderwood,Dalkeith,Male,Bailie,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43912469,Alexander Cullen,Aberdeen,Male,Bailie,-2.1 ,57.15
http://www.wikidata.org/entity/Q43914213,Alexander Gibb,Bo'ness,Male,Bailie,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43911516,Alexander Henderson,Prestonpans,Male,Bailie,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43913469,Alexander Heriot,Edinburgh,Male,Bailie,-3.1989 ,55.95
