Wikidata Page,Name,Residence,Gender,Long,Lat
http://www.wikidata.org/entity/Q43911732,Arniston,"Arniston, Midlothian",Female,-3.05 ,55.83
http://www.wikidata.org/entity/Q43910717,Christian Shaw,Bargarran,Female,-4.464613 ,55.908428
http://www.wikidata.org/entity/Q43913924,Issobel Ker,Ayton,Female,-2.12301 ,55.8425
http://www.wikidata.org/entity/Q43911839,Janet Lyn,Glasgow,Female,-4.27 ,55.87
http://www.wikidata.org/entity/Q43911837,Janet MacDougall,Crichton,Female,-2.98249 ,55.8471
http://www.wikidata.org/entity/Q43915949,Janet Stewart,Canongate,Female,-3.1793 ,55.9517
http://www.wikidata.org/entity/Q43915960,Margaret Miller,Prestonpans,Female,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43915966,Margaret Robeson,Prestonpans,Female,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43912241,Adam Campbell,Gargunnock,Male,-4.08485 ,56.1256
http://www.wikidata.org/entity/Q43912068,Adam Cockburn,Ormiston,Male,-2.94306 ,55.9122
http://www.wikidata.org/entity/Q43913268,Adam Gemmill,Renfrew,Male,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43914471,Adam Murray,"Cardrona, Scottish Borders",Male,-3.1121 ,55.6401
http://www.wikidata.org/entity/Q43912255,Adam Sinclair,Orkney Islands,Male,-3.0 ,59.0
http://www.wikidata.org/entity/Q43912656,Adam Wauchope,Cakemuir,Male,-2.939598 ,55.82242
http://www.wikidata.org/entity/Q43913733,Alexander Baillie,"Preston, East Lothian",Male,-2.979 ,55.9547
http://www.wikidata.org/entity/Q43913013,Alexander Bower,Kincaldrum,Male,-2.93026 ,56.5911
http://www.wikidata.org/entity/Q43914046,Alexander Brodie,Nairn,Male,-3.866666666 ,57.583333333
http://www.wikidata.org/entity/Q43913313,Alexander Brown,Aberdeen,Male,-2.1 ,57.15
http://www.wikidata.org/entity/Q43911545,Alexander Cockburn,"Letham, Falkirk",Male,-3.7741 ,56.0513
http://www.wikidata.org/entity/Q43912735,Alexander Cuningham,Craigends,Male,-4.525 ,55.861111111
http://www.wikidata.org/entity/Q43915274,Alexander Edgar,Edinburgh,Male,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43915348,Alexander Edsley,Newbattle,Male,-3.0775 ,55.8817
http://www.wikidata.org/entity/Q43915952,Alexander Fairlie,Niddry,Male,-3.458308 ,55.949861
http://www.wikidata.org/entity/Q43911561,Alexander Gordon,Earlston,Male,-2.667 ,55.633
http://www.wikidata.org/entity/Q43914913,Alexander Hamilton,Innerwick,Male,-2.45043 ,55.9573
http://www.wikidata.org/entity/Q43910539,Alexander Innes,Dunscaith,Male,-5.975553 ,57.136428
http://www.wikidata.org/entity/Q43914972,Alexander Irving,Drumoak,Male,-2.33828 ,57.0862
http://www.wikidata.org/entity/Q43912828,Alexander Lennox,Grange,Male,-1.8083 ,57.5064
http://www.wikidata.org/entity/Q43910584,Alexander Livingston,Saltcoats,Male,-4.7896 ,55.6352
http://www.wikidata.org/entity/Q43913049,Alexander Malloch,Cairns,Male,-3.4406 ,56.6021
http://www.wikidata.org/entity/Q43912133,Alexander Morrison,Prestongrange,Male,-2.996 ,55.9523
http://www.wikidata.org/entity/Q43914431,Alexander Murray,Eddleston,Male,-3.20651 ,55.712
http://www.wikidata.org/entity/Q43915981,Alexander Newton,Newburgh,Male,-3.2383 ,56.3517
http://www.wikidata.org/entity/Q43916208,Alexander Orrock,Fife,Male,-3.2 ,56.25
http://www.wikidata.org/entity/Q43910709,Alexander Stewart,"Blantyre, South Lanarkshire",Male,-4.097 ,55.793
http://www.wikidata.org/entity/Q43915823,Alexander Stratton,Lauriston,Male,-3.196944444 ,55.945
http://www.wikidata.org/entity/Q43915481,Alexander Torrie,Mordington,Male,-2.08333333 ,55.8
http://www.wikidata.org/entity/Q43912199,Alexander Wedderburn,"Blackness, Falkirk",Male,-3.522011111 ,56.003652777
http://www.wikidata.org/entity/Q43911357,Alexander Wood,Stenton,Male,-2.6 ,55.95
http://www.wikidata.org/entity/Q43911226,Allan Dougall,Polloktoun,Male,-4.303161 ,55.821571
http://www.wikidata.org/entity/Q43911095,Andrew Gaw,Aberdeen,Male,-2.1 ,57.15
http://www.wikidata.org/entity/Q43914635,Andrew Haitlie,Berwickshire,Male,-2.5 ,55.75
http://www.wikidata.org/entity/Q43913636,Andrew Hamilton,Bo'ness,Male,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43911131,Andrew Lesk,Orphir,Male,-3.15 ,58.9333
http://www.wikidata.org/entity/Q43912628,Andrew Moncreiff,Boghall,Male,-4.542073 ,55.897733
http://www.wikidata.org/entity/Q43913696,Andrew Ramsay,Edinburgh,Male,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43913708,Andrew White,Edinburgh,Male,-3.1989 ,55.95
