Wikidata Page,Name,Residence,Gender,Occupation,Long,Lat
http://www.wikidata.org/entity/Q43913357,John Stewart,Blackhall,Male,Advocate,-3.253075 ,55.95878611
http://www.wikidata.org/entity/Q43913366,John Kincaid,Renfrew,Male,Advocate,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43913461,John Dunlop,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43914799,David MacGill,"Nisbet, Scottish Borders",Male,Advocate,-2.51667 ,55.5167
http://www.wikidata.org/entity/Q43915249,George MacKenzie,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43915790,John Nisbet,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43915909,James Hunter,Bo'ness,Male,Advocate,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43915913,William Oliphant,Newton,Male,Advocate,-3.069835 ,55.917035
http://www.wikidata.org/entity/Q43916107,David Ogilvie,Edinburgh,Male,Advocate,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43916108,Robert Ker,Duddingston,Male,Advocate,-3.14673 ,55.9416
http://www.wikidata.org/entity/Q43913782,Hugh Hay,Haddington,Male,Assistant chief constable,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43911015,Thomas Leslie,Aberdeen,Male,Bailie,-2.1 ,57.15
http://www.wikidata.org/entity/Q43911490,John Hamilton,Prestonpans,Male,Bailie,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43911808,John Preston,Whitehill,Male,Bailie,-3.030577 ,55.886446
http://www.wikidata.org/entity/Q43912058,Robert Hamilton,Dechmont,Male,Bailie,-3.53665 ,55.9214
http://www.wikidata.org/entity/Q43912457,Robert Strachan,Musselburgh,Male,Bailie,-3.0472 ,55.9433
http://www.wikidata.org/entity/Q43912542,Archibald Douglas,Abernethy,Male,Bailie,-3.310927777 ,56.326491666
http://www.wikidata.org/entity/Q43912563,Robert Elliot,Selkirk,Male,Bailie,-2.833333333 ,55.533333333
http://www.wikidata.org/entity/Q43912848,Patrick Brown,Haddington,Male,Bailie,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43913019,Thomas Wood,Lauder,Male,Bailie,-2.74855 ,55.7194
http://www.wikidata.org/entity/Q43913051,Andrew Rutherford,Jedburgh,Male,Bailie,-2.546 ,55.477
http://www.wikidata.org/entity/Q43913140,Alexander Dunbar,Inverness,Male,Bailie,-4.225833333 ,57.483888888
http://www.wikidata.org/entity/Q43913141,John Stewart,Inverness,Male,Bailie,-4.225833333 ,57.483888888
http://www.wikidata.org/entity/Q43913405,William Bell,Pittenweem,Male,Bailie,-2.728611111 ,56.213055555
