Wikidata Page,Name,Residence,Gender,Long,Lat
http://www.wikidata.org/entity/Q43915946,Graham,Glasgow,Female,-4.27,55.87
http://www.wikidata.org/entity/Q43911107,Henry Smith,Orkney Islands,Male,-3,59
http://www.wikidata.org/entity/Q43911215,John Gordon,Blelack,Male,-2.924092,57.12002
http://www.wikidata.org/entity/Q43911220,John Ross,Craigton,Male,-2.79661,56.5324
http://www.wikidata.org/entity/Q43911223,John Ross,Auchlossan,Male,-2.712479,57.107851
http://www.wikidata.org/entity/Q43911289,Alexander Forbes,Melgund,Male,-2.7472,56.6982
http://www.wikidata.org/entity/Q43911324,John Wauchope,"Niddrie, Edinburgh",Male,-3.11444,55.9319
http://www.wikidata.org/entity/Q43911563,John Gordon,Ardwell,Male,-4.941,54.771
http://www.wikidata.org/entity/Q43911569,James Stewart,Auchinleck,Male,-4.3,55.46666667
http://www.wikidata.org/entity/Q43911991,John Sinclair,Lochend,Male,-4.3379,57.4091
http://www.wikidata.org/entity/Q43912019,John Hall,Dunglass,Male,-2.375555555,55.94166667
http://www.wikidata.org/entity/Q43912045,John Clerk,Penicuik,Male,-3.22,55.826
http://www.wikidata.org/entity/Q43912065,William Baillie,"Lamington, South Lanarkshire",Male,-3.61833,55.5628
http://www.wikidata.org/entity/Q43912081,George Cockburn,Ormiston,Male,-2.94306,55.9122
http://www.wikidata.org/entity/Q43912109,James Brisbane,Bishopton,Male,-4.50518,55.9084
http://www.wikidata.org/entity/Q43912126,John Stirling,Keir,Male,-3.795,55.219
http://www.wikidata.org/entity/Q43912138,Thomas Wilson,Huntly,Male,-2.78333,57.45
http://www.wikidata.org/entity/Q43912165,James Cockburn,Berwick-upon-Tweed,Male,-2,55.7667
http://www.wikidata.org/entity/Q43912179,John MacLeod,Isle of Raasay,Male,-6.033333333,57.4
http://www.wikidata.org/entity/Q43912227,John Stirling,Kilbride,Male,-4.007458,56.209191
http://www.wikidata.org/entity/Q43912415,William Reid,Aberdeen,Male,-2.1,57.15
http://www.wikidata.org/entity/Q43912436,Archibald Douglas,"Spott, East Lothian",Male,-2.52417,55.9722
http://www.wikidata.org/entity/Q43912447,Robert Douglas,West Barns,Male,-2.553,55.9937
http://www.wikidata.org/entity/Q43912451,Robert Lauder,"Belhaven, Scotland",Male,-2.54083,55.9997
http://www.wikidata.org/entity/Q43912473,David Hunter,Burnside of Duntrune,Male,-2.91294,56.5019
http://www.wikidata.org/entity/Q43912486,John Nicolson,Lasswade,Male,-3.11667,55.8833
http://www.wikidata.org/entity/Q43912537,William Oliphant,Carpow,Male,-3.29095,56.3431
http://www.wikidata.org/entity/Q43912571,John Ayton,Ayton,Male,-2.12301,55.8425
http://www.wikidata.org/entity/Q43912572,John Leslie,Newton,Male,-3.069835,55.917035
http://www.wikidata.org/entity/Q43912598,William Douglas,Kirkness,Male,-3.3107,56.1734
http://www.wikidata.org/entity/Q43912613,Robert Crawford,Powmill,Male,-3.58126,56.1645
http://www.wikidata.org/entity/Q43912649,Robert Lauder,West Barns,Male,-2.553,55.9937
http://www.wikidata.org/entity/Q43912669,William Thomson,Newton,Male,-3.069835,55.917035
http://www.wikidata.org/entity/Q43912682,William Murray,Fife,Male,-3.2,56.25
http://www.wikidata.org/entity/Q43912722,Andrew Melville,Dysart,Male,-3.1254,56.1256
http://www.wikidata.org/entity/Q43912796,Thomas Haliburton,Newmains,Male,-3.87714,55.7832
http://www.wikidata.org/entity/Q43912924,William Ker,Newton,Male,-3.069835,55.917035
http://www.wikidata.org/entity/Q43912958,David Lindsay,"Clova, Angus",Male,-3.10485,56.8436
http://www.wikidata.org/entity/Q43913010,James Dunlop,Dunlop,Male,-4.54,55.7
http://www.wikidata.org/entity/Q43913072,Archibald Stewart,Blackhall,Male,-3.253075,55.95878611
http://www.wikidata.org/entity/Q43913131,Archibald Douglas,Prestonpans,Male,-2.961,55.9597
http://www.wikidata.org/entity/Q43913201,James Aitken,Fife,Male,-3.2,56.25
http://www.wikidata.org/entity/Q43913229,John Wauchope,"Niddrie, Edinburgh",Male,-3.11444,55.9319
http://www.wikidata.org/entity/Q43913329,Patrick Home,Ayton,Male,-2.12301,55.8425
http://www.wikidata.org/entity/Q43913510,John Home,North Berwick,Male,-2.717,56.058
http://www.wikidata.org/entity/Q43913523,Patrick Stewart,Orkney Islands,Male,-3,59
http://www.wikidata.org/entity/Q43913536,Alexander Ramsay,Peaston,Male,-2.915091,55.878235
http://www.wikidata.org/entity/Q43913633,James Hamilton,Bo'ness,Male,-3.608911111,56.01681111
http://www.wikidata.org/entity/Q43913669,James Douglas,Dumfries,Male,-3.616666666,55.06666667
http://www.wikidata.org/entity/Q43913702,William Burnet,Edinburgh,Male,-3.1989,55.95
http://www.wikidata.org/entity/Q43913706,George Leslie,Edinburgh,Male,-3.1989,55.95
http://www.wikidata.org/entity/Q43913880,Ninian Reid,Tranent,Male,-2.95417,55.9447
http://www.wikidata.org/entity/Q43913939,George Home,Eyemouth,Male,-2.090555555,55.86944444
http://www.wikidata.org/entity/Q43913948,William Cuningham,Craigends,Male,-4.525,55.86111111
http://www.wikidata.org/entity/Q43913955,Alexander Porterfield,Renfrewshire,Male,-4.389464,55.877277
http://www.wikidata.org/entity/Q43914025,Hugh Hay,Newton,Male,-3.069835,55.917035
http://www.wikidata.org/entity/Q43914051,Alexander Hay,Nairn,Male,-3.866666666,57.58333333
http://www.wikidata.org/entity/Q43914083,William Murray,Abercorn,Male,-3.466666666,55.98333333
http://www.wikidata.org/entity/Q43914102,John Gordon,Embo,Male,-3.98,57.9
http://www.wikidata.org/entity/Q43914146,James Cockburn,Berwick-upon-Tweed,Male,-2,55.7667
http://www.wikidata.org/entity/Q43914165,Alexander Spittal,Blairlogie,Male,-3.88651,56.1495
http://www.wikidata.org/entity/Q43914178,Alexander Henderson,Inverkeithing,Male,-3.383333333,56.03333333
http://www.wikidata.org/entity/Q43914254,James Watson,Corstorphine,Male,-3.2854,55.9429
http://www.wikidata.org/entity/Q43914267,John Hepburn,"Smeaton, East Lothian",Male,-2.6525,55.9986
http://www.wikidata.org/entity/Q43914282,George Johnston,Morham,Male,-2.7125,55.9444
http://www.wikidata.org/entity/Q43914287,James Campbell,Linlithgow,Male,-3.610555555,55.97527778
http://www.wikidata.org/entity/Q43914309,Alexander Swinton,"Swinton, Scottish Borders",Male,-2.26422,55.7197
http://www.wikidata.org/entity/Q43914311,Patrick Home,Coldingham,Male,-2.156753,55.886672
http://www.wikidata.org/entity/Q43914323,James Scott,Galashiels,Male,-2.818888888,55.62055556
http://www.wikidata.org/entity/Q43914326,William Scott,"Swinton, Scottish Borders",Male,-2.26422,55.7197
http://www.wikidata.org/entity/Q43914345,John Pringle,Saltoun Wood,Male,-2.8541,55.8864
