,Wikidata Page,Name,Residence,Long,Lat,Gender,Ethnicity,Manner of Death,Occupation,Place of Detainment,Social Classification,Wikipedia Page,Place of Death,investigation_start_time
0,http://www.wikidata.org/entity/Q43390211,Jonnet McKennan,Balmurrie,-4.805504,54.959995,Female,,,,,,,,+00000001644-09-18T00:00:00Z
1,http://www.wikidata.org/entity/Q43390291,Jonet Braidheid,Balmakeith,-3.852752,57.580476,Female,,,,,,,,+00000001662-04-14T00:00:00Z
2,http://www.wikidata.org/entity/Q43390319,Wife of Soirle McAllexander,Isle of Bute,-5.05636,55.83569,Female,,,,,,,,+00000001662-01-29T00:00:00Z
3,http://www.wikidata.org/entity/Q43390500,Christian Watson,North Berwick,-2.717,56.058,Female,,,,,,,,+00000001663-10-16T00:00:00Z
4,http://www.wikidata.org/entity/Q43390507,Janet Conochie,Bo'ness,-3.608911111,56.01681111,Female,,,,,,,,+00000001670-00-00T00:00:00Z
5,http://www.wikidata.org/entity/Q43392176,Janet Baker,Edinburgh,-3.198888888,55.95,Female,,,,,,,,
6,http://www.wikidata.org/entity/Q43392260,Elizabeth Crafford,Sammuelston,-2.825545,55.92742,Female,,,,,,,,+00000001661-04-03T00:00:00Z
7,http://www.wikidata.org/entity/Q43392831,Margaret Heriot,"Carrington, Midlothian",-3.0903,55.8328,Female,,,,,,,,+00000001630-04-21T00:00:00Z
8,http://www.wikidata.org/entity/Q43392833,Alison Neving,Dysart,-3.12538,56.12557,Female,,,,,,,,+00000001630-04-21T00:00:00Z
9,http://www.wikidata.org/entity/Q43392847,Agnes Weir,Dumfries,-3.616666666,55.06666667,Female,,,,,,,,+00000001630-06-01T00:00:00Z
10,http://www.wikidata.org/entity/Q43392854,Marion Ritchie,Newton-on-Ayr,-4.625473,55.473285,Female,,,,,,,,+00000001630-06-08T00:00:00Z
11,http://www.wikidata.org/entity/Q43392958,Jonet Lockie,Carnwath,-3.625,55.7006,Female,,,,,,,,+00000001644-12-31T00:00:00Z
12,http://www.wikidata.org/entity/Q43392961,Margaret Watsoun,Carnwath,-3.625,55.7006,Female,,,,,,,,+00000001644-09-29T00:00:00Z
13,http://www.wikidata.org/entity/Q43392965,Elizabeth Sinclair,Sammuelston,-2.825545,55.92742,Female,,,,,,,,+00000001661-04-03T00:00:00Z
14,http://www.wikidata.org/entity/Q43392973,Marjorie Adamsone,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001649-06-08T00:00:00Z
15,http://www.wikidata.org/entity/Q43392993,Helen Tailzear,Eyemouth,-2.090555555,55.86944444,Female,,,,,,,,+00000001649-07-08T00:00:00Z
16,http://www.wikidata.org/entity/Q43392995,Margaret Dobson,Berwickshire,-2.5,55.75,Female,,,,,,,,+00000001649-07-08T00:00:00Z
17,http://www.wikidata.org/entity/Q43393004,Cristiane Tod,Longniddry,-2.88333,55.9667,Female,,,,,,,,+00000001608-05-27T00:00:00Z
18,http://www.wikidata.org/entity/Q43393012,Agnes Murray,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001649-00-00T00:00:00Z
19,http://www.wikidata.org/entity/Q43393028,Isobel Wilson,Carriden,-3.566848,56.009756,Female,,,,,,,,+00000001649-00-00T00:00:00Z
20,http://www.wikidata.org/entity/Q43393055,Jonet Baigbie,Bolton,-2.79042,55.9205,Female,,,,,,,,+00000001661-05-29T00:00:00Z
21,http://www.wikidata.org/entity/Q43393060,Margaret Ker,Bolton,-2.79042,55.9205,Female,,,,,,,,+00000001661-05-30T00:00:00Z
22,http://www.wikidata.org/entity/Q43393067,Jean Getgood,Ormiston,-2.94306,55.9122,Female,,,,,,,,+00000001661-09-06T00:00:00Z
23,http://www.wikidata.org/entity/Q43393091,Elspeth Halliburtonn,Newton-on-Ayr,-4.625473,55.473285,Female,,,,,,,,+00000001661-09-01T00:00:00Z
24,http://www.wikidata.org/entity/Q43393105,Margret Hawie,Ormiston,-2.94306,55.9122,Female,,,,,,,,+00000001661-09-01T00:00:00Z
25,http://www.wikidata.org/entity/Q43393119,Barbara Hood,Chirnside,-2.209,55.8021,Female,,,,,,,,+00000001661-11-01T00:00:00Z
26,http://www.wikidata.org/entity/Q43393137,Helen Guthery,Forfar,-2.89,56.64305556,Female,,,,,,,,+00000001661-12-01T00:00:00Z
27,http://www.wikidata.org/entity/Q43393192,Elspeth Seatoun,Lindores,-3.19051,56.3387,Female,,,,,,,,+00000001662-01-01T00:00:00Z
28,http://www.wikidata.org/entity/Q43393204,Helen Wentoun,Newburgh,-3.2383,56.3517,Female,,,,,,,,+00000001662-01-01T00:00:00Z
29,http://www.wikidata.org/entity/Q43393207,Issobell Page,Newburgh,-3.2383,56.3517,Female,,,,,,,,+00000001662-01-01T00:00:00Z
30,http://www.wikidata.org/entity/Q43393225,Christian Cuthbertson,North Queensferry,-3.39444,56.0111,Female,,,,,,,,+00000001662-01-01T00:00:00Z
31,http://www.wikidata.org/entity/Q43393260,Bessie Proffit,Coldingham,-2.156753,55.886672,Female,,,,,,,,+00000001662-03-01T00:00:00Z
32,http://www.wikidata.org/entity/Q43393348,Elizabeth Clow,Forgan,-2.9321,56.4236,Female,,,,,,,,+00000001662-05-01T00:00:00Z
33,http://www.wikidata.org/entity/Q43393381,Anna Law,Dunning,-3.58896,56.3118,Female,,,,,,,,+00000001662-05-07T00:00:00Z
34,http://www.wikidata.org/entity/Q43393391,Jonet Bining,Clathymore,-3.603294,56.374352,Female,,,,,,,,+00000001662-05-07T00:00:00Z
35,http://www.wikidata.org/entity/Q43393396,Jonet Allan,Innergask,-3.614749,56.37595,Female,,,,,,,,+00000001662-05-07T00:00:00Z
36,http://www.wikidata.org/entity/Q43393414,Margret Rankin,Inverkip,-4.8735,55.912,Female,,,,,,,,+00000001662-05-01T00:00:00Z
37,http://www.wikidata.org/entity/Q43393422,Margret McIllvein,Isle of Bute,-5.05636,55.83569,Female,,,,,,,,+00000001662-05-01T00:00:00Z
38,http://www.wikidata.org/entity/Q43393425,Issobell McCan,Isle of Bute,-5.05636,55.83569,Female,,,,,,,,+00000001662-05-01T00:00:00Z
39,http://www.wikidata.org/entity/Q43393443,Daughter of Alexander McIllmartin,Kelspoke Castle,-5.0183,55.7432,Female,,,,,,,,+00000001662-01-28T00:00:00Z
40,http://www.wikidata.org/entity/Q43393505,Jonet Nein Ean Cheill,Buntoit,-4.664676,57.340454,Female,,,,,,,,+00000001662-06-01T00:00:00Z
41,http://www.wikidata.org/entity/Q43393551,Jonnet Cleghorne,Niddry,-3.458308,55.949861,Female,,,,,,,,+00000001661-06-28T00:00:00Z
42,http://www.wikidata.org/entity/Q43393556,Jonnet Young,Niddry,-3.458308,55.949861,Female,,,,,,,,+00000001661-06-28T00:00:00Z
43,http://www.wikidata.org/entity/Q43393625,Rachael Forrester,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001649-09-07T00:00:00Z
44,http://www.wikidata.org/entity/Q43393645,Katherine Hendersoun,Chirnside,-2.209,55.8021,Female,,,,,,,,+00000001649-09-14T00:00:00Z
45,http://www.wikidata.org/entity/Q43393650,Janet Gray,Chirnside,-2.209,55.8021,Female,,,,,,,,+00000001649-09-14T00:00:00Z
46,http://www.wikidata.org/entity/Q43393654,Margaret Lyis,Galashiels,-2.818888888,55.62055556,Female,,,,,,,,+00000001649-07-14T00:00:00Z
47,http://www.wikidata.org/entity/Q43393675,Christian Syme,North Queensferry,-3.39444,56.0111,Female,,,,,,,,+00000001649-09-27T00:00:00Z
48,http://www.wikidata.org/entity/Q43393738,Jonet Holm,Inverkip,-4.8735,55.912,Female,,,,,,,,+00000001662-08-01T00:00:00Z
49,http://www.wikidata.org/entity/Q43393753,Janet Smelie,Ayr,-4.627777777,55.46388889,Female,,,,,,,,+00000001650-05-01T00:00:00Z
50,http://www.wikidata.org/entity/Q43393754,Bessie Watson,Cromarty,-4.03701,57.6816,Female,,,,,,,,+00000001662-07-01T00:00:00Z
51,http://www.wikidata.org/entity/Q43393755,Jonet Hewison,Houston and Killellan,-4.555,55.873,Female,,,,,,,,+00000001650-07-16T00:00:00Z
52,http://www.wikidata.org/entity/Q43393786,Susanna Alexander,Aberdour,-3.3021,56.0528,Female,,,,,,,,+00000001661-07-31T00:00:00Z
53,http://www.wikidata.org/entity/Q43393788,Jonet Bell,Aberdour,-3.3021,56.0528,Female,,,,,,,,+00000001661-07-31T00:00:00Z
54,http://www.wikidata.org/entity/Q43393790,Janet Groat,Cannisbay,-3.131511,58.628511,Female,,,,,,,,+00000001655-05-23T00:00:00Z
55,http://www.wikidata.org/entity/Q43393804,Gilleis Hutton,Crook of Devon,-3.55,56.1667,Female,,,,,,,,+00000001662-00-00T00:00:00Z
56,http://www.wikidata.org/entity/Q43393852,Marion Purdie,Edinburgh,-3.198888888,55.95,Female,,,,,,,,+00000001684-00-00T00:00:00Z
57,http://www.wikidata.org/entity/Q43389966,Janet Darling,Prestonpans,-2.961,55.9597,Female,,,,,,,,+00000001628-06-01T00:00:00Z
58,http://www.wikidata.org/entity/Q43390054,Janet Weir,Barrachnie,-4.134,55.8507,Female,,,,,,,,+00000001629-03-24T00:00:00Z
59,http://www.wikidata.org/entity/Q43391831,Bessie Innes,"Swordale, Ross-shire",-4.37256,57.6552,Female,,,,,,,,+00000001589-06-04T00:00:00Z
60,http://www.wikidata.org/entity/Q43391899,Jannet Temple,Govan,-4.3083,55.8615,Female,,,,,,,,+00000001699-04-22T00:00:00Z
61,http://www.wikidata.org/entity/Q43391966,Bessie Berk,Lakeheady,-3.579333,55.177814,Female,,,,,,,,+00000001679-08-24T00:00:00Z
62,http://www.wikidata.org/entity/Q43391977,Christian Sinclair,Craigie,-4.49413,55.56112,Female,,,,,,,,+00000001658-04-06T00:00:00Z
63,http://www.wikidata.org/entity/Q43392106,Issobell Robertsoun,Arbroath,-2.585705555,56.56138611,Female,,,,,,,,+00000001568-04-01T00:00:00Z
64,http://www.wikidata.org/entity/Q43392113,Jonet Duncane,Kintyrie,-3.006779,56.707505,Female,,,,,,,,+00000001568-04-01T00:00:00Z
65,http://www.wikidata.org/entity/Q43392493,Marion Bartleman,Houston,-4.552069444,55.86696944,Female,,,,,,,,+00000001699-04-19T00:00:00Z
66,http://www.wikidata.org/entity/Q43392501,Margaret Temple,Govan,-4.3083,55.8615,Female,,,,,,,,+00000001699-04-22T00:00:00Z
67,http://www.wikidata.org/entity/Q43392505,Margaret Hammilton,Bo'ness,-3.608911111,56.01681111,Female,,,,,,,,+00000001679-11-24T00:00:00Z
68,http://www.wikidata.org/entity/Q43392509,Agnes Hucheon,Ayr,-4.627777777,55.46388889,Female,,,,,,,,+00000001595-07-01T00:00:00Z
69,http://www.wikidata.org/entity/Q43392539,Barbara Mathie,Prestonpans,-2.961,55.9597,Female,,,,,,,,+00000001628-07-15T00:00:00Z
