item,witch,itemLabel,place_of_detentionLabel,place_of_detention_coordinate,genderLabel,occupationLabel,chargeLabel,classLabel,ethnicLabel,mdeathLabel,cdeathLabel,deathlocLabel,detainLabel
http://www.wikidata.org/entity/Q43390486,A/EGD/1826,Catharin Walker,Brechin,Point(-2.655277777 56.73),female,,,,,,,,Brechin
http://www.wikidata.org/entity/Q43390861,A/EGD/2517,Marjorie (Marion) Durie,Inverkeithing,Point(-3.383333333 56.033333333),female,,,middling,,,,,Inverkeithing
http://www.wikidata.org/entity/Q43390861,A/EGD/2517,Marjorie (Marion) Durie,Burntisland,Point(-3.2325 56.059444444),female,,,middling,,,,,Inverkeithing
http://www.wikidata.org/entity/Q43390861,A/EGD/2517,Marjorie (Marion) Durie,Inverkeithing,Point(-3.383333333 56.033333333),female,,,middling,,,,,Burntisland
http://www.wikidata.org/entity/Q43390861,A/EGD/2517,Marjorie (Marion) Durie,Burntisland,Point(-3.2325 56.059444444),female,,,middling,,,,,Burntisland
http://www.wikidata.org/entity/Q43390895,A/EGD/288,Kathrin Black,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43390895,A/EGD/288,Kathrin Black,Alloa,Point(-3.7912 56.1155),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43390895,A/EGD/288,Kathrin Black,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Alloa
http://www.wikidata.org/entity/Q43390895,A/EGD/288,Kathrin Black,Alloa,Point(-3.7912 56.1155),female,,,,,,,,Alloa
http://www.wikidata.org/entity/Q43393779,A/EGD/1832,Marioun Twedy,Peebles,Point(-3.188888888 55.651944444),female,,,,,,,,Peebles
http://www.wikidata.org/entity/Q43394021,A/EGD/2040,Helen Andrew,Thurso,Point(-3.521111111 58.596111111),female,,,,,,,,Thurso
http://www.wikidata.org/entity/Q43394326,A/EGD/2294,Janat Cuj,Elgin,Point(-3.315277777 57.646388888),female,,,,,,,,Elgin
http://www.wikidata.org/entity/Q43394784,A/EGD/2514,Bessie Mortoun,Dunfermline,Point(-3.461666666 56.071388888),female,,,,,,,,Dunfermline
http://www.wikidata.org/entity/Q43394786,A/EGD/2516,Beatrix Douglas,Inverkeithing,Point(-3.383333333 56.033333333),female,,,,,,,,Inverkeithing
http://www.wikidata.org/entity/Q43394957,A/EGD/389,Jonet Miller,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43394966,A/EGD/396,Margaret Grieve,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43394991,A/EGD/424,James Welch,Edinburgh,Point(-3.189166666 55.953333333),male,,,pauper,,,,,Edinburgh
http://www.wikidata.org/entity/Q43394991,A/EGD/424,James Welch,Haddington,Point(-2.78332 55.95612),male,,,pauper,,,,,Edinburgh
http://www.wikidata.org/entity/Q43394991,A/EGD/424,James Welch,Edinburgh,Point(-3.189166666 55.953333333),male,,,pauper,,,,,Haddington
http://www.wikidata.org/entity/Q43394991,A/EGD/424,James Welch,Haddington,Point(-2.78332 55.95612),male,,,pauper,,,,,Haddington
http://www.wikidata.org/entity/Q43390167,A/EGD/1248,Christian Paterson,Haddington,Point(-2.78332 55.95612),female,,,,,capital punishment,,,Haddington
http://www.wikidata.org/entity/Q43390200,A/EGD/1277,Thomas Rob,Perth,Point(-3.433333333 56.395833333),male,,,,,capital punishment,,,Perth
http://www.wikidata.org/entity/Q43390418,A/EGD/162,Elizabeth Bathgate,Edinburgh,Point(-3.189166666 55.953333333),female,,,middling,,,,,Edinburgh
http://www.wikidata.org/entity/Q43390418,A/EGD/162,Elizabeth Bathgate,Duns,Point(-2.3426 55.7784),female,,,middling,,,,,Edinburgh
http://www.wikidata.org/entity/Q43390418,A/EGD/162,Elizabeth Bathgate,Edinburgh,Point(-3.189166666 55.953333333),female,,,middling,,,,,Duns
http://www.wikidata.org/entity/Q43390418,A/EGD/162,Elizabeth Bathgate,Duns,Point(-2.3426 55.7784),female,,,middling,,,,,Duns
http://www.wikidata.org/entity/Q43390435,A/EGD/1714,Margaret Dury,Aberdeen,Point(-2.1 57.15),female,,,middling,,,,,Aberdeen
http://www.wikidata.org/entity/Q43392224,A/EGD/1283,Mary Cunningham,Culross,Point(-3.6293 56.0554),female,,,,,,,,Culross
http://www.wikidata.org/entity/Q43392224,A/EGD/1283,Mary Cunningham,Canongate,Point(-3.1793 55.9517),female,,,,,,,,Culross
http://www.wikidata.org/entity/Q43392224,A/EGD/1283,Mary Cunningham,Culross,Point(-3.6293 56.0554),female,,,,,,,,Canongate
http://www.wikidata.org/entity/Q43392224,A/EGD/1283,Mary Cunningham,Canongate,Point(-3.1793 55.9517),female,,,,,,,,Canongate
http://www.wikidata.org/entity/Q43392258,A/EGD/1746,Katharine Liddell,Prestonpans,Point(-2.961 55.9597),female,,,,,,,,Prestonpans
http://www.wikidata.org/entity/Q43392917,A/EGD/126,James Reid,Haddington,Point(-2.78332 55.95612),male,servant,,,,capital punishment,,Castle Hill,Haddington
http://www.wikidata.org/entity/Q43392986,A/EGD/1317,Issobell Broune,Eyemouth,Point(-2.090555555 55.869444444),female,,,,,,,,Eyemouth
http://www.wikidata.org/entity/Q43393008,A/EGD/1331,Elizabeth Lawsone,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43393029,A/EGD/1342,Elspeth Baillie,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43393522,A/EGD/1567,Cristian Neil Ferquhar Vic Ean Baik McNish,Comar,Point(-4.770844 57.341849),female,,,,,,,,Comar
http://www.wikidata.org/entity/Q43393590,A/EGD/1605,Bessie Johnstone,Humbie,Point(-2.86735 55.8544),female,,,,,,,,Humbie
http://www.wikidata.org/entity/Q43393761,A/EGD/168,Johnne Brughe,Edinburgh,Point(-3.189166666 55.953333333),male,healer,,,,capital punishment,,Castle Hill,Edinburgh
http://www.wikidata.org/entity/Q43393815,A/EGD/1699,Mary Rynd,Forfar,Point(-2.89 56.643055555),female,,,,,,,,Forfar
http://www.wikidata.org/entity/Q43393822,A/EGD/1702,Elspeth Guild,Torryburn,Point(-3.55 56.05),female,,,,,,,,Torryburn
http://www.wikidata.org/entity/Q43393834,A/EGD/1869,Geilles Robertsone,Crail,Point(-2.6263 56.2608),female,,,,,,,,Crail
http://www.wikidata.org/entity/Q43393905,A/EGD/1748,Bessie Bell,Loanhead,Point(-3.14827 55.8778),female,,,,,,,,Loanhead
http://www.wikidata.org/entity/Q43393917,A/EGD/1752,Margaret Dougall,Ayr,Point(-4.627777777 55.463888888),female,,,,,,,,Ayr
http://www.wikidata.org/entity/Q43393922,A/EGD/1757,Margaret Fulton,Paisley,Point(-4.423888888 55.845555555),female,,,middling,,capital punishment,,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Glasgow,Point(-4.25 55.861111111),male,,,,,capital punishment,,Gallows Green,Glasgow
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Paisley,Point(-4.423888888 55.845555555),male,,,,,capital punishment,,Gallows Green,Glasgow
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Renfrew,Point(-4.366666666 55.866666666),male,,,,,capital punishment,,Gallows Green,Glasgow
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Glasgow,Point(-4.25 55.861111111),male,,,,,capital punishment,,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Paisley,Point(-4.423888888 55.845555555),male,,,,,capital punishment,,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Renfrew,Point(-4.366666666 55.866666666),male,,,,,capital punishment,,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Glasgow,Point(-4.25 55.861111111),male,,,,,capital punishment,,Gallows Green,Renfrew
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Paisley,Point(-4.423888888 55.845555555),male,,,,,capital punishment,,Gallows Green,Renfrew
http://www.wikidata.org/entity/Q43393935,A/EGD/1764,John Lindsay,Renfrew,Point(-4.366666666 55.866666666),male,,,,,capital punishment,,Gallows Green,Renfrew
http://www.wikidata.org/entity/Q43390127,A/EGD/1194,Janet Beverage,Dysart,Point(-3.12538 56.12557),female,,,middling,,,,,Dysart
http://www.wikidata.org/entity/Q43390236,A/EGD/1312,Issobell Murray,Haddington,Point(-2.78332 55.95612),female,,,middling,,,,,Haddington
http://www.wikidata.org/entity/Q43392518,A/EGD/10,Mareon Quheitt,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43392678,A/EGD/11,Margaret Bartilman,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43392726,A/EGD/1125,Agnes Sinclare,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43392736,A/EGD/1129,Margaret Mitchell,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43392742,A/EGD/1130,Alesoun Carrick,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
